Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,77.500000,80.000000,73.699997,75.000000,70.801003,3126940
2020-02-01,74.000000,75.000000,66.099998,67.199997,63.437691,4591140
2020-03-01,65.900002,70.000000,58.000000,62.000000,58.528835,12965216
2020-04-01,62.000000,71.900002,61.599998,70.800003,68.479668,5888437
2020-05-01,66.000000,79.000000,65.000000,76.199997,73.702682,9129405
2020-06-01,79.000000,80.000000,73.500000,74.500000,72.058395,7138688
2020-07-01,74.900002,79.500000,74.500000,78.000000,76.414658,2614190
2020-08-01,78.000000,88.000000,78.000000,82.900002,81.215065,4224925
2020-09-01,83.099998,84.500000,80.000000,81.900002,80.235390,6352622
2020-10-01,81.699997,86.699997,75.400002,75.400002,73.867500,7009186
2020-11-01,75.500000,82.000000,75.000000,82.000000,80.333359,5287612
2020-12-01,81.900002,85.900002,79.599998,80.599998,78.961807,8510167
2021-01-01,80.699997,95.699997,79.699997,91.000000,89.150429,8549730
2021-02-01,91.000000,100.000000,91.000000,95.900002,93.950836,6557900
2021-03-01,95.500000,98.400002,93.400002,98.400002,96.400032,8826968
2021-04-01,98.400002,111.400002,97.000000,105.000000,102.865883,6131663
2021-05-01,105.000000,105.800003,99.599998,102.800003,101.723785,7749915
2021-06-01,102.800003,127.000000,102.400002,119.400002,118.150002,10728138
2021-07-01,118.599998,128.600006,116.800003,128.600006,127.253693,4506058
2021-08-01,129.000000,130.000000,119.199997,125.400002,125.400002,5374251
2021-09-01,125.400002,173.600006,122.599998,173.000000,173.000000,11519286
2021-10-01,174.600006,179.399994,162.000000,162.000000,162.000000,7732542
2021-11-01,162.399994,167.399994,162.199997,165.800003,165.800003,829452
