Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,32.045452,32.045452,30.909090,31.045454,28.788849,275402204
2020-02-01,31.000000,31.045454,29.636362,30.318180,28.114435,191290387
2020-03-01,29.909090,30.181818,24.545454,27.409090,25.416800,344648576
2020-04-01,27.363636,29.590908,26.318180,28.772726,26.749390,172744479
2020-05-01,27.272726,30.818180,26.954544,30.000000,27.890360,154634087
2020-06-01,29.954544,33.200001,29.227272,32.500000,30.902515,127414104
2020-07-01,32.450001,33.599998,32.400002,33.000000,31.377937,91567548
2020-08-01,33.000000,35.549999,32.900002,35.549999,33.802601,211549751
2020-09-01,35.450001,37.150002,34.849998,35.900002,34.499878,252291714
2020-10-01,35.799999,36.150002,33.500000,33.700001,32.385674,76500057
2020-11-01,33.650002,36.000000,33.450001,36.000000,34.595974,101193960
2020-12-01,35.650002,36.000000,34.650002,35.000000,33.971630,74368802
2021-01-01,35.000000,35.250000,34.599998,34.650002,33.631912,55181835
2021-02-01,34.650002,35.150002,33.900002,34.450001,33.437786,69968925
2021-03-01,34.400002,36.000000,34.349998,36.000000,34.942245,126809528
2021-04-01,35.750000,36.049999,35.250000,35.400002,34.703293,91787524
2021-05-01,35.400002,35.849998,35.200001,35.299999,34.605263,83102387
2021-06-01,35.299999,35.500000,35.000000,35.099998,34.750687,127923865
2021-07-01,35.099998,35.150002,34.400002,34.849998,34.503174,76196911
2021-08-01,34.799999,35.400002,34.500000,35.150002,34.800194,111815980
2021-09-01,35.049999,36.549999,34.900002,36.000000,36.000000,136040506
2021-10-01,35.900002,38.299999,35.849998,37.900002,37.900002,181955745
2021-11-01,37.900002,38.000000,37.549999,37.599998,37.599998,13467245
