Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,65.300003,66.800003,64.000000,66.400002,63.108212,84219118
2020-02-01,65.900002,66.900002,62.000000,62.799999,59.686680,92093592
2020-03-01,60.000000,61.799999,51.000000,53.799999,51.132854,275168261
2020-04-01,53.700001,57.799999,51.099998,57.200001,55.888531,149715031
2020-05-01,54.500000,60.000000,51.799999,57.700001,56.377068,121186898
2020-06-01,57.799999,59.700001,56.599998,56.599998,55.302288,146237755
2020-07-01,56.599998,59.099998,56.500000,58.900002,57.549557,80292868
2020-08-01,58.900002,66.400002,58.799999,64.900002,63.411991,89751712
2020-09-01,65.099998,68.900002,62.700001,65.699997,64.193642,91025695
2020-10-01,65.900002,68.300003,64.000000,65.800003,64.291359,76737907
2020-11-01,65.699997,74.800003,65.000000,74.800003,73.085007,93519932
2020-12-01,74.800003,75.599998,72.000000,73.599998,71.912514,59860176
2021-01-01,73.599998,75.400002,72.300003,72.300003,70.642326,58860360
2021-02-01,72.300003,92.000000,71.400002,89.400002,87.350258,109029892
2021-03-01,89.699997,99.900002,87.000000,98.800003,96.534744,100874476
2021-04-01,98.800003,102.000000,89.699997,98.900002,97.661545,87983401
2021-05-01,98.900002,104.199997,98.000000,103.199997,101.907692,60013865
2021-06-01,103.199997,115.000000,103.199997,111.000000,109.610023,70994121
2021-07-01,111.000000,113.400002,105.599998,111.000000,109.610023,40810113
2021-08-01,111.400002,123.000000,111.199997,121.000000,121.000000,64784642
2021-09-01,121.000000,124.400002,120.199997,122.599998,122.599998,49035045
2021-10-01,122.400002,142.800003,122.000000,139.000000,139.000000,60884719
2021-11-01,139.199997,142.800003,139.199997,141.399994,141.399994,7540894
